schema_version,snapshot_id,suffix_id,suffix_text_sha256,persona_id,persona_quadrant,persona_template_id,extraversion,neuroticism,axis,layer_relative,layer_absolute,cosine_score,persona_axis_median
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-8,20,-0.10493139177560806,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,negative,-9,19,-0.21448083221912384,0.038421276956796646
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-5,23,-0.1059124618768692,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-6,22,-0.03222288936376572,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-7,21,-0.02203058823943138,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-8,20,0.10580913722515106,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v2,high_e_high_n,v2,high,high,frustration,-9,19,0.03045770525932312,-0.02203058823943138
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v3,high_e_high_n,v3,high,high,positive,-5,23,-0.17236144840717316,-0.03072599321603775
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v3,high_e_high_n,v3,high,high,positive,-6,22,-0.15572808682918549,-0.03072599321603775
1,formal-v2-persona-calibration-v3-baseline,calibration.suffix.1,7003d3e5d5fc9a40d2f07d796142e01ef0cf8540dabcc125bcde99dc01d41f42,persona.high_e_high_n.v3,high_e_high_n,v3,high,high,positive,-7,21,-0.0037338933907449245,-0.03072599321603775
