seed,quadrant,contrast,template_count,slope,r5_minus_r1
2006,high_e_high_n,supportive_minus_neutral,3,0.0009599525326242051,0.003344321701054772
2006,high_e_low_n,supportive_minus_neutral,3,0.0009690900022784869,0.0033943220041692257
2006,low_e_high_n,supportive_minus_neutral,3,0.0009696468710899355,0.0031722552763919034
2006,low_e_low_n,supportive_minus_neutral,3,0.0009661507327109574,0.0030784728781630597
2007,high_e_high_n,supportive_minus_neutral,3,0.0011689185940970976,0.004331933722520868
2007,high_e_low_n,supportive_minus_neutral,3,0.0011180675278107326,0.003853006133188804
2007,low_e_high_n,supportive_minus_neutral,3,0.0009696468710899355,0.0031722552763919034
2007,low_e_low_n,supportive_minus_neutral,3,0.0009661507327109574,0.0030784728781630597
2008,high_e_high_n,supportive_minus_neutral,3,1.1856947094202085e-05,-0.00030667226140697795
2008,high_e_low_n,supportive_minus_neutral,3,-6.767590530216683e-05,-0.0013273432074735563
2008,low_e_high_n,supportive_minus_neutral,3,8.056505272785828e-05,-0.00024275419612725577
2008,low_e_low_n,supportive_minus_neutral,3,0.0001264089408020177,-0.0006695366464555264
2009,high_e_high_n,supportive_minus_neutral,3,0.0010967310983687638,0.003863110595072309
2009,high_e_low_n,supportive_minus_neutral,3,0.0010276809334754944,0.0034010731615126133
2009,low_e_high_n,supportive_minus_neutral,3,0.0010402416189511617,0.0035252290156980357
2009,low_e_low_n,supportive_minus_neutral,3,0.0010237218036005895,0.003366328232611219
2010,high_e_high_n,supportive_minus_neutral,3,0.0004837550378094118,0.0009080051289250454
2010,high_e_low_n,supportive_minus_neutral,3,0.0009228889519969621,0.0031342084209124246
2010,low_e_high_n,supportive_minus_neutral,3,0.0009696468710899355,0.0031722552763919034
2010,low_e_low_n,supportive_minus_neutral,3,0.0009661507327109574,0.0030784728781630597
2001,high_e_high_n,supportive_minus_feedback_only,3,0.0008271517542501292,0.0028731543570756912
2001,high_e_low_n,supportive_minus_feedback_only,3,0.0008224730379879474,0.0028404672630131245
2001,low_e_high_n,supportive_minus_feedback_only,3,0.0009113247506320478,0.0032727724562088647
2001,low_e_low_n,supportive_minus_feedback_only,3,0.0008731395627061526,0.0030633602291345596
2002,high_e_high_n,supportive_minus_feedback_only,3,0.0013705430862804254,0.005098388375093539
2002,high_e_low_n,supportive_minus_feedback_only,3,0.0013383434154093266,0.0048147886991500854
2002,low_e_high_n,supportive_minus_feedback_only,3,0.0014577212122579416,0.004015680712958177
2002,low_e_low_n,supportive_minus_feedback_only,3,0.001370840488622586,0.0035268662807842097
2003,high_e_high_n,supportive_minus_feedback_only,3,0.0005247950709114472,0.0019201421334097783
2003,high_e_low_n,supportive_minus_feedback_only,3,0.0008224730379879474,0.0028404672630131245
2003,low_e_high_n,supportive_minus_feedback_only,3,0.0006364372093230486,0.0024053383773813644
2003,low_e_low_n,supportive_minus_feedback_only,3,0.0008731395627061526,0.0030633602291345596
2004,high_e_high_n,supportive_minus_feedback_only,3,0.00036180739601453135,0.0034259025317927203
2004,high_e_low_n,supportive_minus_feedback_only,3,0.0003600697886819641,0.0034228480653837323
2004,low_e_high_n,supportive_minus_feedback_only,3,0.00047612497583031664,0.0038090931872526803
2004,low_e_low_n,supportive_minus_feedback_only,3,0.0003678438719362023,0.0034252876260628304
2005,high_e_high_n,supportive_minus_feedback_only,3,0.0022987540617274743,0.014265198318753392
2005,high_e_low_n,supportive_minus_feedback_only,3,0.002247013911255635,0.013928074307235269
2005,low_e_high_n,supportive_minus_feedback_only,3,0.0023520525777712465,0.014627411767529944
2005,low_e_low_n,supportive_minus_feedback_only,3,0.0021622119471430778,0.012638632208108902
2006,high_e_high_n,supportive_minus_feedback_only,3,0.0008271517542501292,0.0028731543570756912
2006,high_e_low_n,supportive_minus_feedback_only,3,0.0008224730379879474,0.0028404672630131245
2006,low_e_high_n,supportive_minus_feedback_only,3,0.0009113247506320478,0.0032727724562088647
2006,low_e_low_n,supportive_minus_feedback_only,3,0.0008731395627061526,0.0030633602291345596
2007,high_e_high_n,supportive_minus_feedback_only,3,0.000907140721877416,0.003154285252094269
2007,high_e_low_n,supportive_minus_feedback_only,3,0.000892863484720389,0.003019536379724741
2007,low_e_high_n,supportive_minus_feedback_only,3,0.0009113247506320478,0.0032727724562088647
2007,low_e_low_n,supportive_minus_feedback_only,3,0.0008731395627061526,0.0030633602291345596
2008,high_e_high_n,supportive_minus_feedback_only,3,0.0004876400964955489,0.0015696814904610317
2008,high_e_low_n,supportive_minus_feedback_only,3,0.0004768599445621174,0.0008992565174897512
2008,low_e_high_n,supportive_minus_feedback_only,3,0.0004507467771569888,0.0021148379892110825
2008,low_e_low_n,supportive_minus_feedback_only,3,0.0004549724670747915,0.0026518950859705606
2009,high_e_high_n,supportive_minus_feedback_only,3,0.0011909490451216696,0.0045733268683155375
2009,high_e_low_n,supportive_minus_feedback_only,3,0.001248781941831112,0.004799128665278356
2009,low_e_high_n,supportive_minus_feedback_only,3,0.0010740795793632667,0.00408654659986496
2009,low_e_low_n,supportive_minus_feedback_only,3,0.0010934296995401382,0.004164810913304488
2010,high_e_high_n,supportive_minus_feedback_only,3,-7.867583384116479e-05,-0.0017326961581905682
2010,high_e_low_n,supportive_minus_feedback_only,3,-0.0005079151752094428,-0.003923250827938318
2010,low_e_high_n,supportive_minus_feedback_only,3,0.0009113247506320478,0.0032727724562088647
2010,low_e_low_n,supportive_minus_feedback_only,3,0.0008731395627061526,0.0030633602291345596
