axis,contrast,effect,count,mean,sample_stdev,standard_error,exact_sign_flip_p,holm_adjusted_p
joyful,supportive_minus_neutral,extraversion,10,-0.00011804441610972102,9.469476018696069e-05,2.9945112467422784e-05,0.005859375,0.03515625
joyful,supportive_minus_neutral,neuroticism,10,0.00018795967102050787,9.196117403766934e-05,2.908067662621781e-05,0.001953125,0.017578125
joyful,supportive_minus_neutral,interaction,10,-0.00010137553016344698,0.0003543509972336215,0.00011205562424102684,0.515625,1.0
grief_stricken,supportive_minus_neutral,extraversion,10,0.00017940759658813466,0.00011202862187014676,3.5426560823941583e-05,0.001953125,0.017578125
grief_stricken,supportive_minus_neutral,neuroticism,10,-3.2739837964375133e-06,5.4116039129356786e-05,1.711299415955628e-05,0.830078125,1.0
grief_stricken,supportive_minus_neutral,interaction,10,3.898402055104577e-05,0.00011717507107124973,3.705401095772551e-05,0.412109375,1.0
furious,supportive_minus_neutral,extraversion,10,-4.723989094297092e-05,3.9934386246383565e-05,1.2628361749947412e-05,0.005859375,0.03515625
furious,supportive_minus_neutral,neuroticism,10,4.950982208053276e-05,4.6440349646598386e-05,1.4685728021784656e-05,0.005859375,0.03515625
furious,supportive_minus_neutral,interaction,10,-2.556749929984412e-05,1.4898299606737984e-05,4.7112560020882875e-06,0.001953125,0.017578125
