axis,contrast,effect,count,mean,sample_stdev,standard_error,exact_sign_flip_p,holm_adjusted_p
joyful,supportive_minus_neutral,overall,10,0.001945280246436596,0.000803442348823963,0.0002540707790919228,0.001953125,0.005859375
grief_stricken,supportive_minus_neutral,overall,10,0.0008638797203699747,0.0005015412349069479,0.00015860126427995027,0.001953125,0.005859375
furious,supportive_minus_neutral,overall,10,-0.0010650856761882702,0.0007178596812743884,0.00022700716332295915,0.00390625,0.005859375
