axis,seed,slope,r5_minus_r1
joyful,3001,-0.0015486666311820348,-0.00865895114839077
joyful,3002,-0.0015486666311820348,-0.00865895114839077
joyful,3003,0.00038735798249642055,-0.0002056310574213664
joyful,3004,-0.00032662358134984967,-0.0024404923121134443
joyful,3005,-0.0015486666311820348,-0.00865895114839077
joyful,3006,-0.0012329250574111938,-0.007247503226002057
joyful,3007,-0.0015486666311820348,-0.00865895114839077
joyful,3008,0.0007966005553801855,0.0030673847844203315
joyful,3009,-0.001113760657608509,-0.00516898992160956
joyful,3010,-0.004542538709938526,-0.0157974058141311
grief_stricken,3001,0.0035994989176591236,0.010132992019255957
grief_stricken,3002,0.0035994989176591236,0.010132992019255957
grief_stricken,3003,0.0007077585905790329,0.0015712827444076538
grief_stricken,3004,0.0028957548240820565,0.008227940648794174
grief_stricken,3005,0.0035994989176591236,0.010132992019255957
grief_stricken,3006,0.00452431986729304,0.01281882201631864
grief_stricken,3007,0.0035994989176591236,0.010132992019255957
grief_stricken,3008,-0.002029812087615331,-0.018013563007116318
grief_stricken,3009,0.0028644974033037824,0.008264896770318348
grief_stricken,3010,0.002160176013906797,0.005378279834985733
furious,3001,0.002159779674063126,0.010050006521244844
furious,3002,0.002159779674063126,0.010050006521244844
furious,3003,-0.0013831010398765405,0.001999054724971453
furious,3004,0.002870563541849454,0.013262111383179823
furious,3005,0.002159779674063126,0.010050006521244844
furious,3006,0.003396291999767224,0.017442580467710894
furious,3007,0.002159779674063126,0.010050006521244844
furious,3008,-0.002465120299408833,-0.013074493346114954
furious,3009,0.003683688398450613,0.014430008828639984
furious,3010,0.007332223343352477,0.02807512662063042
